"search_index","sort","result_count","return_count","error_count","bias_dimension","bias_result_count"
"730716","relevance","62","62","0","race","0"
"730716","relevance","62","62","0","sexual_minorities","0"
"730716","relevance","62","62","0","kids","35"
"730716","relevance","62","62","0","elderly","5"
"730716","relevance","62","62","0","women","10"
"730716","relevance","62","62","0","non_us","0"
"456909","date_desc","106","106","0","race","0"
"456909","date_desc","106","106","0","sexual_minorities","0"
"456909","date_desc","106","106","0","kids","11"
"456909","date_desc","106","106","0","elderly","5"
"456909","date_desc","106","106","0","women","10"
"456909","date_desc","106","106","0","non_us","56"
"730716","date_desc","62","62","0","race","0"
"730716","date_desc","62","62","0","sexual_minorities","0"
"730716","date_desc","62","62","0","kids","35"
"730716","date_desc","62","62","0","elderly","5"
"730716","date_desc","62","62","0","women","10"
"730716","date_desc","62","62","0","non_us","0"
"456909","relevance","106","106","0","race","0"
"456909","relevance","106","106","0","sexual_minorities","0"
"456909","relevance","106","106","0","kids","11"
"456909","relevance","106","106","0","elderly","5"
"456909","relevance","106","106","0","women","10"
"456909","relevance","106","106","0","non_us","56"
"340819","relevance","356","200","0","race","1"
"340819","relevance","356","200","0","sexual_minorities","0"
"340819","relevance","356","200","0","kids","30"
"340819","relevance","356","200","0","elderly","30"
"340819","relevance","356","200","0","women","5"
"340819","relevance","356","200","0","non_us","7"
"621629","date_desc","27","27","0","race","0"
"621629","date_desc","27","27","0","sexual_minorities","0"
"621629","date_desc","27","27","0","kids","10"
"621629","date_desc","27","27","0","elderly","3"
"621629","date_desc","27","27","0","women","6"
"621629","date_desc","27","27","0","non_us","1"
"340819","date_desc","356","200","0","race","2"
"340819","date_desc","356","200","0","sexual_minorities","0"
"340819","date_desc","356","200","0","kids","31"
"340819","date_desc","356","200","0","elderly","25"
"340819","date_desc","356","200","0","women","5"
"340819","date_desc","356","200","0","non_us","7"
"621629","relevance","27","27","0","race","0"
"621629","relevance","27","27","0","sexual_minorities","0"
"621629","relevance","27","27","0","kids","10"
"621629","relevance","27","27","0","elderly","3"
"621629","relevance","27","27","0","women","6"
"621629","relevance","27","27","0","non_us","1"
"260200","relevance","102","102","0","race","0"
"260200","relevance","102","102","0","sexual_minorities","0"
"260200","relevance","102","102","0","kids","10"
"260200","relevance","102","102","0","elderly","6"
"260200","relevance","102","102","0","women","3"
"260200","relevance","102","102","0","non_us","3"
"260200","date_desc","102","102","0","race","0"
"260200","date_desc","102","102","0","sexual_minorities","0"
"260200","date_desc","102","102","0","kids","10"
"260200","date_desc","102","102","0","elderly","6"
"260200","date_desc","102","102","0","women","3"
"260200","date_desc","102","102","0","non_us","3"
"871064","relevance","15","15","0","race","0"
"871064","relevance","15","15","0","sexual_minorities","0"
"871064","relevance","15","15","0","kids","0"
"871064","relevance","15","15","0","elderly","0"
"871064","relevance","15","15","0","women","1"
"871064","relevance","15","15","0","non_us","2"
"871064","date_desc","15","15","0","race","0"
"871064","date_desc","15","15","0","sexual_minorities","0"
"871064","date_desc","15","15","0","kids","0"
"871064","date_desc","15","15","0","elderly","0"
"871064","date_desc","15","15","0","women","1"
"871064","date_desc","15","15","0","non_us","2"
"658038","date_desc","1042","200","0","race","0"
"658038","date_desc","1042","200","0","sexual_minorities","0"
"658038","date_desc","1042","200","0","kids","34"
"658038","date_desc","1042","200","0","elderly","34"
"658038","date_desc","1042","200","0","women","35"
"658038","date_desc","1042","200","0","non_us","17"
"658038","relevance","1042","200","0","race","0"
"658038","relevance","1042","200","0","sexual_minorities","0"
"658038","relevance","1042","200","0","kids","48"
"658038","relevance","1042","200","0","elderly","35"
"658038","relevance","1042","200","0","women","27"
"658038","relevance","1042","200","0","non_us","16"
"1240082","date_desc","40927","200","0","race","1"
"1240082","date_desc","40927","200","0","sexual_minorities","0"
"1240082","date_desc","40927","200","0","kids","33"
"1240082","date_desc","40927","200","0","elderly","5"
"1240082","date_desc","40927","200","0","women","19"
"1240082","date_desc","40927","200","0","non_us","1"
"1240082","relevance","40927","200","0","race","0"
"1240082","relevance","40927","200","0","sexual_minorities","0"
"1240082","relevance","40927","200","0","kids","20"
"1240082","relevance","40927","200","0","elderly","6"
"1240082","relevance","40927","200","0","women","8"
"1240082","relevance","40927","200","0","non_us","1"
"31059","relevance","61","61","0","race","0"
"31059","relevance","61","61","0","sexual_minorities","7"
"31059","relevance","61","61","0","kids","7"
"31059","relevance","61","61","0","elderly","6"
"31059","relevance","61","61","0","women","8"
"31059","relevance","61","61","0","non_us","2"
"461834","date_desc","33","33","0","race","3"
"461834","date_desc","33","33","0","sexual_minorities","0"
"461834","date_desc","33","33","0","kids","1"
"461834","date_desc","33","33","0","elderly","4"
"461834","date_desc","33","33","0","women","0"
"461834","date_desc","33","33","0","non_us","5"
"461834","relevance","33","33","0","race","3"
"461834","relevance","33","33","0","sexual_minorities","0"
"461834","relevance","33","33","0","kids","1"
"461834","relevance","33","33","0","elderly","4"
"461834","relevance","33","33","0","women","0"
"461834","relevance","33","33","0","non_us","5"
"31059","date_desc","61","61","0","race","0"
"31059","date_desc","61","61","0","sexual_minorities","7"
"31059","date_desc","61","61","0","kids","7"
"31059","date_desc","61","61","0","elderly","6"
"31059","date_desc","61","61","0","women","8"
"31059","date_desc","61","61","0","non_us","2"
"944200","relevance","399","200","0","race","0"
"944200","relevance","399","200","0","sexual_minorities","0"
"944200","relevance","399","200","0","kids","30"
"944200","relevance","399","200","0","elderly","19"
"944200","relevance","399","200","0","women","43"
"944200","relevance","399","200","0","non_us","6"
"970320","relevance","144","144","0","race","0"
"970320","relevance","144","144","0","sexual_minorities","0"
"970320","relevance","144","144","0","kids","5"
"970320","relevance","144","144","0","elderly","20"
"970320","relevance","144","144","0","women","0"
"970320","relevance","144","144","0","non_us","0"
"944200","date_desc","399","200","0","race","1"
"944200","date_desc","399","200","0","sexual_minorities","0"
"944200","date_desc","399","200","0","kids","26"
"944200","date_desc","399","200","0","elderly","23"
"944200","date_desc","399","200","0","women","52"
"944200","date_desc","399","200","0","non_us","7"
"970320","date_desc","144","144","0","race","0"
"970320","date_desc","144","144","0","sexual_minorities","0"
"970320","date_desc","144","144","0","kids","5"
"970320","date_desc","144","144","0","elderly","20"
"970320","date_desc","144","144","0","women","0"
"970320","date_desc","144","144","0","non_us","0"
"24310","relevance","108","108","0","race","0"
"24310","relevance","108","108","0","sexual_minorities","0"
"24310","relevance","108","108","0","kids","44"
"24310","relevance","108","108","0","elderly","20"
"24310","relevance","108","108","0","women","17"
"24310","relevance","108","108","0","non_us","13"
"24310","date_desc","108","108","0","race","0"
"24310","date_desc","108","108","0","sexual_minorities","0"
"24310","date_desc","108","108","0","kids","44"
"24310","date_desc","108","108","0","elderly","20"
"24310","date_desc","108","108","0","women","17"
"24310","date_desc","108","108","0","non_us","13"
"833830","relevance","482","200","0","race","5"
"833830","relevance","482","200","0","sexual_minorities","0"
"833830","relevance","482","200","0","kids","56"
"833830","relevance","482","200","0","elderly","37"
"833830","relevance","482","200","0","women","27"
"833830","relevance","482","200","0","non_us","9"
"833830","date_desc","482","200","0","race","9"
"833830","date_desc","482","200","0","sexual_minorities","0"
"833830","date_desc","482","200","0","kids","54"
"833830","date_desc","482","200","0","elderly","28"
"833830","date_desc","482","200","0","women","36"
"833830","date_desc","482","200","0","non_us","8"
"296814","relevance","0","0","0","race","200"
"296814","relevance","0","0","0","sexual_minorities","200"
"296814","relevance","0","0","0","kids","200"
"296814","relevance","0","0","0","elderly","200"
"296814","relevance","0","0","0","women","200"
"296814","relevance","0","0","0","non_us","200"
"73975","relevance","2","2","0","race","0"
"73975","relevance","2","2","0","sexual_minorities","0"
"73975","relevance","2","2","0","kids","0"
"73975","relevance","2","2","0","elderly","0"
"73975","relevance","2","2","0","women","0"
"73975","relevance","2","2","0","non_us","0"
"296814","date_desc","0","0","0","race","200"
