"search_index","sort","result_count","return_count","error_count","bias_dimension","bias_result_count"
"167286","relevance","0","0","0","race","200"
"167286","relevance","0","0","0","sexual_minorities","200"
"167286","relevance","0","0","0","kids","200"
"167286","relevance","0","0","0","elderly","200"
"167286","relevance","0","0","0","women","200"
"167286","relevance","0","0","0","non_us","200"
"167286","date_desc","0","0","0","race","200"
"167286","date_desc","0","0","0","sexual_minorities","200"
"167286","date_desc","0","0","0","kids","200"
"167286","date_desc","0","0","0","elderly","200"
"167286","date_desc","0","0","0","women","200"
"167286","date_desc","0","0","0","non_us","200"
"5401","relevance","18328","200","0","race","0"
"5401","relevance","18328","200","0","sexual_minorities","0"
"5401","relevance","18328","200","0","kids","16"
"5401","relevance","18328","200","0","elderly","2"
"5401","relevance","18328","200","0","women","1"
"5401","relevance","18328","200","0","non_us","0"
"5401","date_desc","18328","200","0","race","0"
"5401","date_desc","18328","200","0","sexual_minorities","0"
"5401","date_desc","18328","200","0","kids","8"
"5401","date_desc","18328","200","0","elderly","5"
"5401","date_desc","18328","200","0","women","6"
"5401","date_desc","18328","200","0","non_us","4"
"858051","relevance","14","14","0","race","0"
"858051","relevance","14","14","0","sexual_minorities","0"
"858051","relevance","14","14","0","kids","3"
"858051","relevance","14","14","0","elderly","0"
"858051","relevance","14","14","0","women","3"
"858051","relevance","14","14","0","non_us","2"
"858051","date_desc","14","14","0","race","0"
"858051","date_desc","14","14","0","sexual_minorities","0"
"858051","date_desc","14","14","0","kids","3"
"858051","date_desc","14","14","0","elderly","0"
"858051","date_desc","14","14","0","women","3"
"858051","date_desc","14","14","0","non_us","2"
"1080887","relevance","4","4","0","race","0"
"1080887","relevance","4","4","0","sexual_minorities","0"
"1080887","relevance","4","4","0","kids","0"
"1080887","relevance","4","4","0","elderly","0"
"1080887","relevance","4","4","0","women","0"
"1080887","relevance","4","4","0","non_us","0"
"514395","date_desc","43","43","0","race","0"
"514395","date_desc","43","43","0","sexual_minorities","0"
"514395","date_desc","43","43","0","kids","0"
"514395","date_desc","43","43","0","elderly","1"
"514395","date_desc","43","43","0","women","0"
"514395","date_desc","43","43","0","non_us","0"
"1080887","date_desc","4","4","0","race","0"
"1080887","date_desc","4","4","0","sexual_minorities","0"
"1080887","date_desc","4","4","0","kids","0"
"1080887","date_desc","4","4","0","elderly","0"
"1080887","date_desc","4","4","0","women","0"
"1080887","date_desc","4","4","0","non_us","0"
"514395","relevance","43","43","0","race","0"
"514395","relevance","43","43","0","sexual_minorities","0"
"514395","relevance","43","43","0","kids","0"
"514395","relevance","43","43","0","elderly","1"
"514395","relevance","43","43","0","women","0"
"514395","relevance","43","43","0","non_us","0"
"208470","relevance","2408","200","0","race","0"
"208470","relevance","2408","200","0","sexual_minorities","0"
"208470","relevance","2408","200","0","kids","4"
"208470","relevance","2408","200","0","elderly","9"
"208470","relevance","2408","200","0","women","7"
"208470","relevance","2408","200","0","non_us","14"
"208470","date_desc","2408","200","0","race","0"
"208470","date_desc","2408","200","0","sexual_minorities","0"
"208470","date_desc","2408","200","0","kids","8"
"208470","date_desc","2408","200","0","elderly","5"
"208470","date_desc","2408","200","0","women","3"
"208470","date_desc","2408","200","0","non_us","45"
"980918","relevance","5","5","0","race","0"
"980918","relevance","5","5","0","sexual_minorities","0"
"980918","relevance","5","5","0","kids","1"
"980918","relevance","5","5","0","elderly","0"
"980918","relevance","5","5","0","women","0"
"980918","relevance","5","5","0","non_us","0"
"387695","date_desc","0","0","0","race","200"
"387695","date_desc","0","0","0","sexual_minorities","200"
"387695","date_desc","0","0","0","kids","200"
"387695","date_desc","0","0","0","elderly","200"
"387695","date_desc","0","0","0","women","200"
"387695","date_desc","0","0","0","non_us","200"
"387695","relevance","0","0","0","race","200"
"387695","relevance","0","0","0","sexual_minorities","200"
"387695","relevance","0","0","0","kids","200"
"387695","relevance","0","0","0","elderly","200"
"387695","relevance","0","0","0","women","200"
"387695","relevance","0","0","0","non_us","200"
"915992","relevance","0","0","1","race","200"
"915992","relevance","0","0","1","sexual_minorities","200"
"915992","relevance","0","0","1","kids","200"
"915992","relevance","0","0","1","elderly","200"
"915992","relevance","0","0","1","women","200"
"915992","relevance","0","0","1","non_us","200"
"980918","date_desc","5","5","0","race","0"
"980918","date_desc","5","5","0","sexual_minorities","0"
"980918","date_desc","5","5","0","kids","1"
"980918","date_desc","5","5","0","elderly","0"
"980918","date_desc","5","5","0","women","0"
"980918","date_desc","5","5","0","non_us","0"
"915992","date_desc","0","0","1","race","200"
"915992","date_desc","0","0","1","sexual_minorities","200"
"915992","date_desc","0","0","1","kids","200"
"915992","date_desc","0","0","1","elderly","200"
"915992","date_desc","0","0","1","women","200"
"915992","date_desc","0","0","1","non_us","200"
"54494","date_desc","3","3","0","race","0"
"54494","date_desc","3","3","0","sexual_minorities","0"
"54494","date_desc","3","3","0","kids","0"
"54494","date_desc","3","3","0","elderly","0"
"54494","date_desc","3","3","0","women","0"
"54494","date_desc","3","3","0","non_us","0"
"54494","relevance","3","3","0","race","0"
"54494","relevance","3","3","0","sexual_minorities","0"
"54494","relevance","3","3","0","kids","0"
"54494","relevance","3","3","0","elderly","0"
"54494","relevance","3","3","0","women","0"
"54494","relevance","3","3","0","non_us","0"
"672014","date_desc","15","15","0","race","0"
"672014","date_desc","15","15","0","sexual_minorities","0"
"672014","date_desc","15","15","0","kids","0"
"672014","date_desc","15","15","0","elderly","0"
"672014","date_desc","15","15","0","women","0"
"672014","date_desc","15","15","0","non_us","0"
"672014","relevance","15","15","0","race","0"
"672014","relevance","15","15","0","sexual_minorities","0"
"672014","relevance","15","15","0","kids","0"
"672014","relevance","15","15","0","elderly","0"
"672014","relevance","15","15","0","women","0"
"672014","relevance","15","15","0","non_us","0"
"164308","date_desc","139","139","0","race","0"
"164308","date_desc","139","139","0","sexual_minorities","0"
"164308","date_desc","139","139","0","kids","2"
"164308","date_desc","139","139","0","elderly","1"
"164308","date_desc","139","139","0","women","2"
"164308","date_desc","139","139","0","non_us","0"
"164308","relevance","139","139","0","race","0"
"164308","relevance","139","139","0","sexual_minorities","0"
"164308","relevance","139","139","0","kids","2"
"164308","relevance","139","139","0","elderly","1"
"164308","relevance","139","139","0","women","2"
"164308","relevance","139","139","0","non_us","0"
"228995","relevance","1008762","200","0","race","1"
"228995","relevance","1008762","200","0","sexual_minorities","0"
"228995","relevance","1008762","200","0","kids","8"
"228995","relevance","1008762","200","0","elderly","5"
"228995","relevance","1008762","200","0","women","10"
"228995","relevance","1008762","200","0","non_us","4"
"228995","date_desc","1008762","200","0","race","0"
"228995","date_desc","1008762","200","0","sexual_minorities","0"
"228995","date_desc","1008762","200","0","kids","16"
"228995","date_desc","1008762","200","0","elderly","4"
"228995","date_desc","1008762","200","0","women","14"
"228995","date_desc","1008762","200","0","non_us","12"
"350953","relevance","1780","200","0","race","5"
"350953","relevance","1780","200","0","sexual_minorities","0"
"350953","relevance","1780","200","0","kids","42"
"350953","relevance","1780","200","0","elderly","25"
"350953","relevance","1780","200","0","women","62"
"350953","relevance","1780","200","0","non_us","26"
"832641","relevance","27","27","0","race","0"
"832641","relevance","27","27","0","sexual_minorities","0"
"832641","relevance","27","27","0","kids","1"
"832641","relevance","27","27","0","elderly","0"
"832641","relevance","27","27","0","women","1"
"832641","relevance","27","27","0","non_us","3"
"350953","date_desc","1780","200","0","race","4"
"350953","date_desc","1780","200","0","sexual_minorities","0"
"350953","date_desc","1780","200","0","kids","28"
"350953","date_desc","1780","200","0","elderly","21"
"350953","date_desc","1780","200","0","women","49"
"350953","date_desc","1780","200","0","non_us","25"
"832641","date_desc","27","27","0","race","0"
"832641","date_desc","27","27","0","sexual_minorities","0"
"832641","date_desc","27","27","0","kids","1"
"832641","date_desc","27","27","0","elderly","0"
"832641","date_desc","27","27","0","women","1"
"832641","date_desc","27","27","0","non_us","3"
"208598","relevance","35","35","0","race","1"
"208598","relevance","35","35","0","sexual_minorities","0"
"208598","relevance","35","35","0","kids","26"
"208598","relevance","35","35","0","elderly","1"
"208598","relevance","35","35","0","women","25"
"208598","relevance","35","35","0","non_us","6"
"208598","date_desc","35","35","0","race","1"
"208598","date_desc","35","35","0","sexual_minorities","0"
"208598","date_desc","35","35","0","kids","26"
"208598","date_desc","35","35","0","elderly","1"
"208598","date_desc","35","35","0","women","25"
"208598","date_desc","35","35","0","non_us","6"
"1137219","date_desc","1259","200","0","race","3"
"1137219","date_desc","1259","200","0","sexual_minorities","0"
"1137219","date_desc","1259","200","0","kids","25"
"1137219","date_desc","1259","200","0","elderly","61"
"1137219","date_desc","1259","200","0","women","28"
"1137219","date_desc","1259","200","0","non_us","45"
"1243512","relevance","23","23","0","race","0"
"1243512","relevance","23","23","0","sexual_minorities","0"
"1243512","relevance","23","23","0","kids","1"
"1243512","relevance","23","23","0","elderly","0"
"1243512","relevance","23","23","0","women","0"
"1243512","relevance","23","23","0","non_us","0"
"1137219","relevance","1259","200","0","race","0"
"1137219","relevance","1259","200","0","sexual_minorities","0"
"1137219","relevance","1259","200","0","kids","21"
"1137219","relevance","1259","200","0","elderly","77"
"1137219","relevance","1259","200","0","women","23"
"1137219","relevance","1259","200","0","non_us","65"
"1243512","date_desc","23","23","0","race","0"
"1243512","date_desc","23","23","0","sexual_minorities","0"
"1243512","date_desc","23","23","0","kids","1"
"1243512","date_desc","23","23","0","elderly","0"
"1243512","date_desc","23","23","0","women","0"
"1243512","date_desc","23","23","0","non_us","0"
"688973","relevance","351","200","0","race","5"
"688973","relevance","351","200","0","sexual_minorities","0"
"688973","relevance","351","200","0","kids","20"
"688973","relevance","351","200","0","elderly","22"
"688973","relevance","351","200","0","women","8"
"688973","relevance","351","200","0","non_us","3"
"688973","date_desc","351","200","0","race","6"
"688973","date_desc","351","200","0","sexual_minorities","0"
"688973","date_desc","351","200","0","kids","20"
"688973","date_desc","351","200","0","elderly","24"
"688973","date_desc","351","200","0","women","9"
"688973","date_desc","351","200","0","non_us","3"
"744095","relevance","26","26","0","race","0"
"744095","relevance","26","26","0","sexual_minorities","0"
"744095","relevance","26","26","0","kids","1"
"744095","relevance","26","26","0","elderly","0"
"744095","relevance","26","26","0","women","0"
"744095","relevance","26","26","0","non_us","0"
"700635","relevance","66384","200","0","race","0"
"700635","relevance","66384","200","0","sexual_minorities","0"
"700635","relevance","66384","200","0","kids","5"
"700635","relevance","66384","200","0","elderly","24"
"700635","relevance","66384","200","0","women","10"
"700635","relevance","66384","200","0","non_us","16"
"744095","date_desc","26","26","0","race","0"
"744095","date_desc","26","26","0","sexual_minorities","0"
"744095","date_desc","26","26","0","kids","1"
"744095","date_desc","26","26","0","elderly","0"
"744095","date_desc","26","26","0","women","0"
"744095","date_desc","26","26","0","non_us","0"
"700635","date_desc","66384","200","0","race","2"
"700635","date_desc","66384","200","0","sexual_minorities","0"
"700635","date_desc","66384","200","0","kids","12"
"700635","date_desc","66384","200","0","elderly","16"
"700635","date_desc","66384","200","0","women","17"
"700635","date_desc","66384","200","0","non_us","11"
"408026","date_desc","4","4","0","race","0"
"408026","date_desc","4","4","0","sexual_minorities","0"
"408026","date_desc","4","4","0","kids","0"
"408026","date_desc","4","4","0","elderly","0"
"408026","date_desc","4","4","0","women","0"
"408026","date_desc","4","4","0","non_us","0"
"408026","relevance","4","4","0","race","0"
"408026","relevance","4","4","0","sexual_minorities","0"
"408026","relevance","4","4","0","kids","0"
"408026","relevance","4","4","0","elderly","0"
"408026","relevance","4","4","0","women","0"
"408026","relevance","4","4","0","non_us","0"
"1158345","relevance","154","154","0","race","3"
"1158345","relevance","154","154","0","sexual_minorities","0"
"1158345","relevance","154","154","0","kids","19"
"1158345","relevance","154","154","0","elderly","12"
"1158345","relevance","154","154","0","women","20"
"1158345","relevance","154","154","0","non_us","31"
"1158345","date_desc","154","154","0","race","3"
"1158345","date_desc","154","154","0","sexual_minorities","0"
"1158345","date_desc","154","154","0","kids","19"
"1158345","date_desc","154","154","0","elderly","12"
"1158345","date_desc","154","154","0","women","20"
"1158345","date_desc","154","154","0","non_us","31"
"839189","relevance","27","27","0","race","0"
"839189","relevance","27","27","0","sexual_minorities","0"
"839189","relevance","27","27","0","kids","1"
"839189","relevance","27","27","0","elderly","1"
"839189","relevance","27","27","0","women","3"
"839189","relevance","27","27","0","non_us","1"
"824717","date_desc","968","200","0","race","0"
"824717","date_desc","968","200","0","sexual_minorities","0"
"824717","date_desc","968","200","0","kids","17"
"824717","date_desc","968","200","0","elderly","25"
"824717","date_desc","968","200","0","women","3"
"824717","date_desc","968","200","0","non_us","1"
"839189","date_desc","27","27","0","race","0"
"839189","date_desc","27","27","0","sexual_minorities","0"
"839189","date_desc","27","27","0","kids","1"
"839189","date_desc","27","27","0","elderly","1"
"839189","date_desc","27","27","0","women","3"
"839189","date_desc","27","27","0","non_us","1"
"670906","relevance","0","0","0","race","200"
"670906","relevance","0","0","0","sexual_minorities","200"
"670906","relevance","0","0","0","kids","200"
"670906","relevance","0","0","0","elderly","200"
"670906","relevance","0","0","0","women","200"
"670906","relevance","0","0","0","non_us","200"
"824717","relevance","968","200","0","race","0"
"824717","relevance","968","200","0","sexual_minorities","0"
"824717","relevance","968","200","0","kids","10"
"824717","relevance","968","200","0","elderly","21"
"824717","relevance","968","200","0","women","1"
"824717","relevance","968","200","0","non_us","0"
"670906","date_desc","0","0","0","race","200"
"670906","date_desc","0","0","0","sexual_minorities","200"
"670906","date_desc","0","0","0","kids","200"
"670906","date_desc","0","0","0","elderly","200"
"670906","date_desc","0","0","0","women","200"
"670906","date_desc","0","0","0","non_us","200"
"628853","date_desc","101136","200","0","race","2"
"628853","date_desc","101136","200","0","sexual_minorities","1"
"628853","date_desc","101136","200","0","kids","29"
"628853","date_desc","101136","200","0","elderly","25"
"628853","date_desc","101136","200","0","women","36"
"628853","date_desc","101136","200","0","non_us","16"
"628853","relevance","101136","200","0","race","0"
"628853","relevance","101136","200","0","sexual_minorities","0"
"628853","relevance","101136","200","0","kids","31"
"628853","relevance","101136","200","0","elderly","12"
"628853","relevance","101136","200","0","women","24"
"628853","relevance","101136","200","0","non_us","1"
"843135","relevance","0","0","0","race","200"
"843135","relevance","0","0","0","sexual_minorities","200"
"843135","relevance","0","0","0","kids","200"
"843135","relevance","0","0","0","elderly","200"
"843135","relevance","0","0","0","women","200"
"843135","relevance","0","0","0","non_us","200"
"394477","relevance","17","17","0","race","0"
"394477","relevance","17","17","0","sexual_minorities","0"
"394477","relevance","17","17","0","kids","1"
"394477","relevance","17","17","0","elderly","0"
"394477","relevance","17","17","0","women","0"
"394477","relevance","17","17","0","non_us","0"
"843135","date_desc","0","0","0","race","200"
"843135","date_desc","0","0","0","sexual_minorities","200"
"843135","date_desc","0","0","0","kids","200"
"843135","date_desc","0","0","0","elderly","200"
"843135","date_desc","0","0","0","women","200"
"843135","date_desc","0","0","0","non_us","200"
"958190","relevance","238","200","0","race","0"
"958190","relevance","238","200","0","sexual_minorities","0"
"958190","relevance","238","200","0","kids","0"
"958190","relevance","238","200","0","elderly","37"
"958190","relevance","238","200","0","women","8"
"958190","relevance","238","200","0","non_us","11"
"394477","date_desc","17","17","0","race","0"
"394477","date_desc","17","17","0","sexual_minorities","0"
"394477","date_desc","17","17","0","kids","1"
"394477","date_desc","17","17","0","elderly","0"
"394477","date_desc","17","17","0","women","0"
"394477","date_desc","17","17","0","non_us","0"
"382739","date_desc","4","4","0","race","0"
"382739","date_desc","4","4","0","sexual_minorities","0"
"382739","date_desc","4","4","0","kids","0"
"382739","date_desc","4","4","0","elderly","0"
"382739","date_desc","4","4","0","women","0"
"382739","date_desc","4","4","0","non_us","1"
"958190","date_desc","238","200","0","race","0"
"958190","date_desc","238","200","0","sexual_minorities","0"
"958190","date_desc","238","200","0","kids","1"
"958190","date_desc","238","200","0","elderly","40"
"958190","date_desc","238","200","0","women","7"
"958190","date_desc","238","200","0","non_us","10"
"382739","relevance","4","4","0","race","0"
"382739","relevance","4","4","0","sexual_minorities","0"
"382739","relevance","4","4","0","kids","0"
"382739","relevance","4","4","0","elderly","0"
"382739","relevance","4","4","0","women","0"
"382739","relevance","4","4","0","non_us","1"
"1297788","relevance","2137","200","0","race","3"
"1297788","relevance","2137","200","0","sexual_minorities","0"
"1297788","relevance","2137","200","0","kids","50"
"1297788","relevance","2137","200","0","elderly","12"
"1297788","relevance","2137","200","0","women","22"
"1297788","relevance","2137","200","0","non_us","28"
"1297788","date_desc","2137","200","0","race","2"
"1297788","date_desc","2137","200","0","sexual_minorities","0"
"1297788","date_desc","2137","200","0","kids","32"
"1297788","date_desc","2137","200","0","elderly","16"
"1297788","date_desc","2137","200","0","women","26"
"1297788","date_desc","2137","200","0","non_us","17"
"313847","date_desc","48","48","0","race","4"
"313847","date_desc","48","48","0","sexual_minorities","0"
"313847","date_desc","48","48","0","kids","5"
"313847","date_desc","48","48","0","elderly","6"
"313847","date_desc","48","48","0","women","6"
"313847","date_desc","48","48","0","non_us","0"
"380209","relevance","17","17","0","race","0"
"380209","relevance","17","17","0","sexual_minorities","0"
"380209","relevance","17","17","0","kids","0"
"380209","relevance","17","17","0","elderly","0"
"380209","relevance","17","17","0","women","0"
"380209","relevance","17","17","0","non_us","0"
"313847","relevance","48","48","0","race","4"
"313847","relevance","48","48","0","sexual_minorities","0"
"313847","relevance","48","48","0","kids","5"
"313847","relevance","48","48","0","elderly","6"
"313847","relevance","48","48","0","women","6"
"313847","relevance","48","48","0","non_us","0"
"380209","date_desc","17","17","0","race","0"
"380209","date_desc","17","17","0","sexual_minorities","0"
"380209","date_desc","17","17","0","kids","0"
"380209","date_desc","17","17","0","elderly","0"
