"search_index","sort","result_count","return_count","error_count","bias_dimension","bias_result_count"
"749851","date_desc","111","111","0","race","3"
"749851","date_desc","111","111","0","sexual_minorities","0"
"749851","date_desc","111","111","0","kids","77"
"749851","date_desc","111","111","0","elderly","12"
"749851","date_desc","111","111","0","women","78"
"749851","date_desc","111","111","0","non_us","52"
"1251493","relevance","20464","200","0","race","1"
"1251493","relevance","20464","200","0","sexual_minorities","0"
"1251493","relevance","20464","200","0","kids","16"
"1251493","relevance","20464","200","0","elderly","28"
"1251493","relevance","20464","200","0","women","4"
"1251493","relevance","20464","200","0","non_us","8"
"749851","relevance","111","111","0","race","3"
"749851","relevance","111","111","0","sexual_minorities","0"
"749851","relevance","111","111","0","kids","77"
"749851","relevance","111","111","0","elderly","12"
"749851","relevance","111","111","0","women","78"
"749851","relevance","111","111","0","non_us","52"
"536055","date_desc","5711","200","0","race","0"
"536055","date_desc","5711","200","0","sexual_minorities","0"
"536055","date_desc","5711","200","0","kids","21"
"536055","date_desc","5711","200","0","elderly","22"
"536055","date_desc","5711","200","0","women","20"
"536055","date_desc","5711","200","0","non_us","18"
"536055","relevance","5711","200","0","race","0"
"536055","relevance","5711","200","0","sexual_minorities","1"
"536055","relevance","5711","200","0","kids","36"
"536055","relevance","5711","200","0","elderly","5"
"536055","relevance","5711","200","0","women","10"
"536055","relevance","5711","200","0","non_us","35"
"1251493","date_desc","20464","200","0","race","3"
"1251493","date_desc","20464","200","0","sexual_minorities","0"
"1251493","date_desc","20464","200","0","kids","13"
"1251493","date_desc","20464","200","0","elderly","15"
"1251493","date_desc","20464","200","0","women","19"
"1251493","date_desc","20464","200","0","non_us","7"
"236153","relevance","2198","200","0","race","6"
"236153","relevance","2198","200","0","sexual_minorities","0"
"236153","relevance","2198","200","0","kids","196"
"236153","relevance","2198","200","0","elderly","36"
"236153","relevance","2198","200","0","women","43"
"236153","relevance","2198","200","0","non_us","38"
"236153","date_desc","2198","200","0","race","2"
"236153","date_desc","2198","200","0","sexual_minorities","0"
"236153","date_desc","2198","200","0","kids","151"
"236153","date_desc","2198","200","0","elderly","16"
"236153","date_desc","2198","200","0","women","50"
"236153","date_desc","2198","200","0","non_us","30"
"760689","relevance","403","200","0","race","0"
"760689","relevance","403","200","0","sexual_minorities","0"
"760689","relevance","403","200","0","kids","30"
"760689","relevance","403","200","0","elderly","33"
"760689","relevance","403","200","0","women","47"
"760689","relevance","403","200","0","non_us","20"
"760689","date_desc","403","200","0","race","1"
"760689","date_desc","403","200","0","sexual_minorities","0"
"760689","date_desc","403","200","0","kids","37"
"760689","date_desc","403","200","0","elderly","33"
"760689","date_desc","403","200","0","women","44"
"760689","date_desc","403","200","0","non_us","27"
"245762","relevance","76926","200","0","race","22"
"245762","relevance","76926","200","0","sexual_minorities","0"
"245762","relevance","76926","200","0","kids","17"
"245762","relevance","76926","200","0","elderly","1"
"245762","relevance","76926","200","0","women","6"
"245762","relevance","76926","200","0","non_us","67"
"245762","date_desc","76926","200","0","race","4"
"245762","date_desc","76926","200","0","sexual_minorities","0"
"245762","date_desc","76926","200","0","kids","39"
"245762","date_desc","76926","200","0","elderly","30"
"245762","date_desc","76926","200","0","women","39"
"245762","date_desc","76926","200","0","non_us","50"
"443462","relevance","27","27","0","race","1"
"443462","relevance","27","27","0","sexual_minorities","0"
"443462","relevance","27","27","0","kids","6"
"443462","relevance","27","27","0","elderly","4"
"443462","relevance","27","27","0","women","6"
"443462","relevance","27","27","0","non_us","4"
"112587","relevance","285","200","0","race","0"
"112587","relevance","285","200","0","sexual_minorities","0"
"112587","relevance","285","200","0","kids","58"
"112587","relevance","285","200","0","elderly","67"
"112587","relevance","285","200","0","women","21"
"112587","relevance","285","200","0","non_us","9"
"443462","date_desc","27","27","0","race","1"
"443462","date_desc","27","27","0","sexual_minorities","0"
"443462","date_desc","27","27","0","kids","6"
"443462","date_desc","27","27","0","elderly","4"
"443462","date_desc","27","27","0","women","6"
"443462","date_desc","27","27","0","non_us","4"
"112587","date_desc","285","200","0","race","0"
"112587","date_desc","285","200","0","sexual_minorities","0"
"112587","date_desc","285","200","0","kids","55"
"112587","date_desc","285","200","0","elderly","64"
"112587","date_desc","285","200","0","women","24"
"112587","date_desc","285","200","0","non_us","11"
"780784","relevance","91","91","0","race","5"
"780784","relevance","91","91","0","sexual_minorities","0"
"780784","relevance","91","91","0","kids","18"
"780784","relevance","91","91","0","elderly","1"
"780784","relevance","91","91","0","women","2"
"780784","relevance","91","91","0","non_us","7"
"1008494","relevance","0","0","0","race","200"
"1008494","relevance","0","0","0","sexual_minorities","200"
"1008494","relevance","0","0","0","kids","200"
"1008494","relevance","0","0","0","elderly","200"
"1008494","relevance","0","0","0","women","200"
"1008494","relevance","0","0","0","non_us","200"
"780784","date_desc","91","91","0","race","5"
"780784","date_desc","91","91","0","sexual_minorities","0"
"780784","date_desc","91","91","0","kids","18"
"780784","date_desc","91","91","0","elderly","1"
"780784","date_desc","91","91","0","women","2"
"780784","date_desc","91","91","0","non_us","7"
