"search_index","sort","result_count","return_count","error_count","bias_dimension","bias_result_count"
"753868","date_desc","18497","200","0","race","23"
"753868","date_desc","18497","200","0","sexual_minorities","1"
"753868","date_desc","18497","200","0","kids","192"
"753868","date_desc","18497","200","0","elderly","31"
"753868","date_desc","18497","200","0","women","67"
"753868","date_desc","18497","200","0","non_us","41"
"460026","relevance","93","93","0","race","0"
"460026","relevance","93","93","0","sexual_minorities","0"
"460026","relevance","93","93","0","kids","7"
"460026","relevance","93","93","0","elderly","1"
"460026","relevance","93","93","0","women","17"
"460026","relevance","93","93","0","non_us","10"
"753868","relevance","18497","200","0","race","17"
"753868","relevance","18497","200","0","sexual_minorities","0"
"753868","relevance","18497","200","0","kids","200"
"753868","relevance","18497","200","0","elderly","6"
"753868","relevance","18497","200","0","women","17"
"753868","relevance","18497","200","0","non_us","23"
"1060537","relevance","70","70","0","race","0"
"1060537","relevance","70","70","0","sexual_minorities","0"
"1060537","relevance","70","70","0","kids","6"
"1060537","relevance","70","70","0","elderly","7"
"1060537","relevance","70","70","0","women","0"
"1060537","relevance","70","70","0","non_us","11"
"460026","date_desc","93","93","0","race","0"
"460026","date_desc","93","93","0","sexual_minorities","0"
"460026","date_desc","93","93","0","kids","7"
"460026","date_desc","93","93","0","elderly","1"
"460026","date_desc","93","93","0","women","17"
"460026","date_desc","93","93","0","non_us","10"
"727366","date_desc","4350","200","0","race","9"
"727366","date_desc","4350","200","0","sexual_minorities","5"
"727366","date_desc","4350","200","0","kids","29"
"727366","date_desc","4350","200","0","elderly","12"
"727366","date_desc","4350","200","0","women","32"
"727366","date_desc","4350","200","0","non_us","65"
"1060537","date_desc","70","70","0","race","0"
"1060537","date_desc","70","70","0","sexual_minorities","0"
"1060537","date_desc","70","70","0","kids","6"
"1060537","date_desc","70","70","0","elderly","7"
"1060537","date_desc","70","70","0","women","0"
"1060537","date_desc","70","70","0","non_us","11"
"309552","date_desc","210","200","0","race","4"
"309552","date_desc","210","200","0","sexual_minorities","0"
"309552","date_desc","210","200","0","kids","11"
"309552","date_desc","210","200","0","elderly","6"
"309552","date_desc","210","200","0","women","5"
"309552","date_desc","210","200","0","non_us","1"
"309552","relevance","210","200","0","race","4"
"309552","relevance","210","200","0","sexual_minorities","0"
"309552","relevance","210","200","0","kids","12"
"309552","relevance","210","200","0","elderly","6"
"309552","relevance","210","200","0","women","5"
"309552","relevance","210","200","0","non_us","1"
"727366","relevance","4350","200","0","race","6"
"727366","relevance","4350","200","0","sexual_minorities","3"
"727366","relevance","4350","200","0","kids","12"
"727366","relevance","4350","200","0","elderly","4"
"727366","relevance","4350","200","0","women","14"
"727366","relevance","4350","200","0","non_us","35"
"81649","relevance","43","43","0","race","0"
"81649","relevance","43","43","0","sexual_minorities","0"
"81649","relevance","43","43","0","kids","10"
"81649","relevance","43","43","0","elderly","4"
"81649","relevance","43","43","0","women","10"
"81649","relevance","43","43","0","non_us","0"
"297599","date_desc","29","29","0","race","0"
"297599","date_desc","29","29","0","sexual_minorities","0"
"297599","date_desc","29","29","0","kids","0"
"297599","date_desc","29","29","0","elderly","1"
"297599","date_desc","29","29","0","women","1"
"297599","date_desc","29","29","0","non_us","3"
"81649","date_desc","43","43","0","race","0"
"81649","date_desc","43","43","0","sexual_minorities","0"
"81649","date_desc","43","43","0","kids","10"
"81649","date_desc","43","43","0","elderly","4"
"81649","date_desc","43","43","0","women","10"
"81649","date_desc","43","43","0","non_us","0"
"297599","relevance","29","29","0","race","0"
